date,overall_sentiment_score,ticker_sentiment_score,ticker,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,price_movement
2022-09-01,0.09668539024390244,0.05046490243902439,AAPL,156.64,158.42,154.67,157.96,156.233275438192,74229896,0.0,1.0,0
2022-09-02,0.09291179166666667,0.10300595833333333,AAPL,159.75,160.362,154.965,155.81,154.106777956601,76957768,0.0,1.0,0
2022-09-06,0.05476080555555555,0.11568788888888888,AAPL,156.47,157.09,153.69,154.53,152.840770153607,73295539,0.0,1.0,1
2022-09-07,0.09163966666666666,0.08580283333333333,AAPL,154.825,156.67,153.61,155.96,154.255138246014,87449574,0.0,1.0,0
2022-09-08,0.11772229268292683,0.10115253658536585,AAPL,154.64,156.36,152.68,154.46,152.771535351881,84923847,0.0,1.0,1
2022-09-09,0.15380644,0.12776472,AAPL,155.47,157.82,154.75,157.37,155.649724966499,68081006,0.0,1.0,1
2022-09-12,0.13588455555555556,0.14018519444444444,AAPL,159.59,164.26,159.3,163.43,161.643480658798,104955962,0.0,1.0,0
2022-09-13,0.13088747368421053,0.14767126315789472,AAPL,159.9,160.54,153.37,153.84,152.158312822306,122656614,0.0,1.0,1
2022-09-14,0.10026220833333332,0.09551679166666667,AAPL,154.785,157.1,153.6106,155.31,153.612243658556,87965409,0.0,1.0,0
2022-09-15,0.16693945454545453,0.18791163636363636,AAPL,154.65,155.24,151.38,152.37,150.704381986055,90481110,0.0,1.0,0
2022-09-16,0.11085727272727273,0.12843387878787876,AAPL,151.21,151.35,148.37,150.7,149.052637430587,162278841,0.0,1.0,1
2022-09-19,0.08906628125,0.055053125,AAPL,149.31,154.56,149.1,154.48,152.791316723803,81474246,0.0,1.0,1
2022-09-20,0.10664992499999999,0.1399362,AAPL,153.4,158.08,153.08,156.9,155.184862726338,107689796,0.0,1.0,0
2022-09-21,0.12742955555555555,0.12838122222222223,AAPL,157.34,158.74,153.6,153.72,152.039624590775,101696790,0.0,1.0,0
2022-09-22,0.0917351282051282,0.11208566666666667,AAPL,152.38,154.47,150.91,152.74,151.070337366608,86264792,0.0,1.0,0
